"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000025900"	19.9471083456772	-0.0693856021268753	0.588713635732888	-0.117859682391248	0.90617883931759	0.989567421707289
"ENSMUSG00000025902"	343.577865091421	0.0987218275933523	0.166214054063915	0.593943924593707	0.552549619113353	0.93886731935631
"ENSMUSG00000102269"	8.39960380318021	0.240291968801889	0.796268066811726	0.301772705470939	0.76282533928386	0.973141498294398
"ENSMUSG00000098104"	6.27225501653923	0.23227364637412	0.914342818549436	0.254033434355192	0.799469728260564	0.977001529444065
"ENSMUSG00000103922"	9.74291153424645	0.408718591513918	0.782215473833129	0.522514070849371	0.601312452089808	0.95337154408104
"ENSMUSG00000033845"	1592.06953477118	0.0552556204469371	0.112815398058141	0.489787931417488	0.624283971606596	0.955358203595036
"ENSMUSG00000102275"	20.1437692307601	-0.115978716477802	0.480276228487826	-0.241483358114489	0.809180513193262	0.978147210101164
"ENSMUSG00000025903"	3836.91476597889	-0.0534818551844019	0.179238357901521	-0.298383983264266	0.765410112118293	0.973141498294398
"ENSMUSG00000033813"	390.812495440525	-0.11820554571278	0.166394847755535	-0.710391861931003	0.47746116834337	0.914891595011619
"ENSMUSG00000033793"	2321.3353483535	-0.0686107759576769	0.104116917005855	-0.658978175024319	0.509909783689927	0.927765933830527
"ENSMUSG00000025907"	1641.79891972086	-0.265656906317238	0.137618817526659	-1.93038213154082	0.0535595072598944	0.558447547584829
"ENSMUSG00000090031"	227.540956910035	-0.0789245419714032	0.167529963665496	-0.471107020168586	0.637564312166765	0.956480134078244
"ENSMUSG00000051285"	1903.72161521911	-0.323446184651308	0.146663101900182	-2.20536849732964	0.027428246788056	0.46700459154444
"ENSMUSG00000103509"	28.2212577203007	-0.487326593897711	0.492937604686187	-0.988617198738472	0.322850468223623	0.862900134500721
"ENSMUSG00000097797"	9.26509657992494	0.203784401513236	0.740706772215979	0.275121558432054	0.78322284921991	0.974717005449456
"ENSMUSG00000025909"	21.3290647962366	0.395167371108749	0.576614946965544	0.685322801963999	0.493140246174975	0.921600636859184
"ENSMUSG00000103411"	7.54323116246407	0.31276958251804	0.793798740021458	0.394016224452038	0.693569060812041	0.96705568425136
"ENSMUSG00000061024"	533.655907622452	0.285649852572152	0.201364775885023	1.41856911824169	0.156024674518605	0.744514712744023
"ENSMUSG00000025911"	5532.10527892173	0.430462786513488	0.522872228606567	0.823265729106811	0.410356897911056	0.897105880133766
"ENSMUSG00000079671"	59.105242000751	-0.283820833854762	0.382008010310601	-0.742970896406059	0.457499300819028	0.913264103851767
"ENSMUSG00000081441"	11.0685984499294	0.911996440907947	0.721720889781693	1.26364146281509	0.206358744390776	0.794410448227325
"ENSMUSG00000025912"	45.914540424006	0.0421650867724461	0.371129466491847	0.113612877929143	0.909544678345055	0.989864212087889
"ENSMUSG00000045210"	799.730877185013	-0.227088644609533	0.165155757019577	-1.37499684363177	0.169132423256376	0.761075429858354
"ENSMUSG00000097893"	23.5213503710399	-0.106893420264776	0.454957072777344	-0.234952760734614	0.814245398386335	0.978147210101164
"ENSMUSG00000025915"	728.062997967751	-0.0901611453387967	0.127750338855725	-0.705760518104143	0.480337078860306	0.916329212045944
"ENSMUSG00000046101"	44.3613802189267	0.20080162662043	0.451068243821812	0.44516906115819	0.656197583448157	0.960143892689018
"ENSMUSG00000098234"	162.420975442197	0.390656369644922	0.237100019087659	1.64764377138448	0.0994257927155327	0.662513983042652
"ENSMUSG00000093178"	6.26265017029311	-0.0131614262848902	0.825623873845339	-0.0159411890835847	0.987281310033765	0.998923051581415
"ENSMUSG00000099032"	225.419566748859	0.125841049485105	0.202474917776866	0.62151426392372	0.534261312366845	0.93401098579692
"ENSMUSG00000025917"	1226.27204633072	-0.0236352758249433	0.124988481154748	-0.189099632274757	0.850014729688756	0.981939517917032
